CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 7 is empty
CPU 8 is empty
CPU 9 is empty
CPU 10 is empty
CPU 11 is empty
CPU 12 is empty
CPU 13 is empty
CPU 14 is empty
CPU 15 is empty
CPU 16 is empty
CPU 17 is empty
CPU 18 is empty
CPU 19 is empty
CPU 20 is empty
CPU 21 is empty
CPU 22 is empty
CPU 23 is empty
CPU 24 is empty
CPU 27 is empty
CPU 28 is empty
CPU 30 is empty
CPU 31 is empty
cpus=32
     firecracker-1743662 [025] 1301062.226856: kvm_update_master_clock: masterclock 0 hostclock 0x1 offsetmatched 0
     firecracker-1743662 [026] 1301062.230031: kvm_cpuid:            func 1 idx cf50bd01 rax 0 rbx 0 rcx 0 rdx 0, cpuid entry not found
       fc_vcpu 0-1743666 [029] 1301062.250385: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250389: kvm_exit:             reason EXIT_NPF rip 0x100000 info 600000006 108000
       fc_vcpu 0-1743666 [029] 1301062.250389: kvm_page_fault:       address 108000 error_code 6
       fc_vcpu 0-1743666 [029] 1301062.250390: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250394: kvm_exit:             reason EXIT_NPF rip 0x100000 info 600000006 109000
       fc_vcpu 0-1743666 [029] 1301062.250394: kvm_page_fault:       address 109000 error_code 6
       fc_vcpu 0-1743666 [029] 1301062.250394: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250398: kvm_exit:             reason EXIT_NPF rip 0x100000 info 500000014 100000
       fc_vcpu 0-1743666 [029] 1301062.250398: kvm_page_fault:       address 100000 error_code 14
       fc_vcpu 0-1743666 [029] 1301062.250399: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250403: kvm_exit:             reason EXIT_NPF rip 0x100000 info 500000004 105000
       fc_vcpu 0-1743666 [029] 1301062.250403: kvm_page_fault:       address 105000 error_code 4
       fc_vcpu 0-1743666 [029] 1301062.250404: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250408: kvm_exit:             reason EXIT_NPF rip 0x100000 info 500000014 101000
       fc_vcpu 0-1743666 [029] 1301062.250409: kvm_page_fault:       address 101000 error_code 14
       fc_vcpu 0-1743666 [029] 1301062.250410: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250414: kvm_exit:             reason EXIT_NPF rip 0x100000 info 500000006 12d000
       fc_vcpu 0-1743666 [029] 1301062.250414: kvm_page_fault:       address 12d000 error_code 6
       fc_vcpu 0-1743666 [029] 1301062.250417: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250421: kvm_exit:             reason UNKNOWN (144) rip 0x100000 info 80050013 0
       fc_vcpu 0-1743666 [029] 1301062.250430: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250434: kvm_exit:             reason EXIT_NPF rip 0x100000 info 600000006 107000
       fc_vcpu 0-1743666 [029] 1301062.250434: kvm_page_fault:       address 107000 error_code 6
       fc_vcpu 0-1743666 [029] 1301062.250435: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250439: kvm_exit:             reason EXIT_NPF rip 0x100000 info 600000006 108000
       fc_vcpu 0-1743666 [029] 1301062.250439: kvm_page_fault:       address 108000 error_code 6
       fc_vcpu 0-1743666 [029] 1301062.250440: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250444: kvm_exit:             reason EXIT_NPF rip 0x100000 info 600000006 109000
       fc_vcpu 0-1743666 [029] 1301062.250444: kvm_page_fault:       address 109000 error_code 6
       fc_vcpu 0-1743666 [029] 1301062.250444: kvm_entry:            vcpu 0, rip 0x100000
